Job_ID,Role,Company,Location,Experience_Level,Employment_Type,Salary_USD,Skills,Remote_Status,Posted_Date,Job_Description
1,Data Scientist,Google,"Tokyo, JP",Senior,Part-time,126717,"Excel, Computer Vision, R",Remote,7/25/2025,"Seeking a passionate Data Scientist with hands-on experience in Computer Vision, R, Excel. Excellent opportunity to grow in a dynamic environment."
2,Data Scientist,OpenAI,"London, UK",Entry,Part-time,61295,"Docker, Excel, Azure, Python",Hybrid,7/8/2025,"The Data Scientist will drive innovation and support our data-driven strategies. Required skills include: Docker, Excel, Python."
3,BI Analyst,Flipkart,"Berlin, DE",Mid,Part-time,76078,"NLP, Azure, R, Docker, TensorFlow",Onsite,6/10/2025,"The BI Analyst will drive innovation and support our data-driven strategies. Required skills include: R, NLP, Docker."
4,Data Scientist,NVIDIA,"Berlin, DE",Senior,Part-time,163336,"SQL, AWS, TensorFlow, Deep Learning, Azure",Hybrid,5/31/2025,"Join our team as a Data Scientist, where you'll use your skills in SQL, Deep Learning, AWS to solve real-world problems. Experience in SQL, Deep Learning, AWS is a plus."
5,Computer Vision Engineer,Netflix,"Toronto, CA",Senior,Part-time,164796,"Hadoop, AWS, Scikit-learn, Docker",Hybrid,6/10/2025,"As a Computer Vision Engineer, you will be responsible for building scalable solutions using AWS, Scikit-learn, Docker. We value creativity and a willingness to learn."
6,NLP Engineer,NVIDIA,"London, UK",Senior,Full-time,172759,"Azure, SQL, GCP, Tableau, Hadoop, Spark",Remote,5/26/2025,"We are looking for a NLP Engineer with strong experience in GCP, Spark, Tableau. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
7,BI Analyst,SAP,"Texas, US",Senior,Part-time,155322,"Excel, Deep Learning, NLP, AWS, PyTorch, Azure",Remote,5/26/2025,"Join our team as a BI Analyst, where you'll use your skills in PyTorch, AWS, Excel to solve real-world problems. Experience in PyTorch, AWS, Excel is a plus."
8,Data Scientist,Microsoft,"New York, US",Mid,Part-time,109086,"Pandas, Docker, Spark, Azure, Python, Tableau",Hybrid,7/14/2025,"We are looking for a Data Scientist with strong experience in Tableau, Docker, Pandas. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
9,NLP Engineer,Flipkart,"New York, US",Senior,Internship,167323,"Spark, TensorFlow, PowerBI, Pandas",Remote,5/12/2025,"Seeking a passionate NLP Engineer with hands-on experience in Pandas, Spark, PowerBI. Excellent opportunity to grow in a dynamic environment."
10,Data Analyst,Apple,"Toronto, CA",Mid,Full-time,102021,"PowerBI, AWS, R, Excel, SQL",Hybrid,7/18/2025,"The Data Analyst will drive innovation and support our data-driven strategies. Required skills include: R, Excel, SQL."
